plot_id,rep,block,range,column,entry,location,planting_date,trt,byd,ptht,yield,ndvi_032817,ndvi_041317,ndvi_050117,ndvi_050917,ndvi_052117,ndvi_052317,ndvi_053017,ndvi_060517,ndvi_061317,ndvi_phi1,ndvi_phi2,ndvi_phi3,pthtd_032817,pthtd_041317,pthtd_050117,pthtd_050917,pthtd_052117,pthtd_052317,pthtd_053017,pthtd_060517,pthtd_061317,pthtd_phi1,pthtd_phi2,pthtd_phi3
17BYD00065,1,2,17,1,KS090485K-11,Rocky,9/12/16,Treated,15,0.96,3330,0.9,0.92,0.9,0.9,0.84,0.85,0.75,0.55,0.39,0.913909409,34.09400946,-0.125849619,0.414,0.655,0.648,0.822,0.715,0.611,0.565,0.491,0.769,0.923268294,-10.90929345,0.052533744
17BYD00066,1,2,17,2,KS090049K-6,Rocky,9/12/16,Treated,5,0.9,5820,0.87,0.93,0.91,0.92,0.86,0.87,0.79,0.68,0.42,0.906838463,40.96339704,-0.150006901,0.369,0.61,0.755,0.97,0.707,0.601,0.654,0.617,0.766,0.923268294,-10.90929345,0.052533744
17BYD00067,1,2,17,3,Art,Rocky,9/12/16,Treated,55,0.95,4910,0.89,0.93,0.9,0.9,0.86,0.88,0.78,0.67,0.41,0.906840518,40.77088608,-0.149477831,0.398,0.652,0.716,0.921,0.863,0.85,0.85,0.918,0.93,0.918870402,-13.98844657,0.069039389
17BYD00068,1,2,17,4,KS090028K-4,Rocky,9/12/16,Treated,15,1.03,3300,0.9,0.93,0.9,0.92,0.84,0.85,0.77,0.66,0.39,0.910173742,38.22938413,-0.140428669,0.413,0.614,0.686,0.992,0.674,0.64,0.643,0.685,0.806,0.768809321,-18.77285077,0.094600164
17BYD00069,1,2,18,4,LCSPistol,Rocky,9/12/16,Treated,20,1.01,5480,0.87,0.92,0.91,0.92,0.84,0.86,0.77,0.64,0.41,0.905989251,37.29795381,-0.136848075,0.413,0.612,0.735,0.984,0.645,0.612,0.659,0.748,0.803,0.784144386,-18.62590583,0.093528245
17BYD00070,1,2,18,3,KS090028K-25,Rocky,9/12/16,Treated,10,0.92,4900,0.91,0.92,0.9,0.89,0.84,0.85,0.76,0.59,0.39,0.911075976,35.19929503,-0.129650827,0.404,0.607,0.766,0.991,0.65,0.577,0.674,0.852,0.89,0.817859794,-18.2652644,0.091073279
17BYD00071,1,2,18,2,KS12DH0298-57,Rocky,9/12/16,Treated,5,1.09,3870,0.9,0.93,0.92,0.93,0.86,0.9,0.84,0.79,0.55,0.913712142,43.2847311,-0.156373715,0.371,0.558,0.738,0.896,0.474,0.529,0.545,0.603,0.796,0.707143122,-21.03663436,0.105492638
17BYD00072,1,2,18,1,KS090391K-2,Rocky,9/12/16,Treated,10,0.94,7510,0.93,0.94,0.92,0.91,0.89,0.89,0.84,0.78,0.51,0.92049306,45.17960483,-0.163998541,0.397,0.565,0.725,0.869,0.897,0.86,0.874,0.869,0.88,0.922080905,-12.38189308,0.060137359
17BYD00073,1,2,19,1,KS090633K-7,Rocky,9/12/16,Treated,15,1.04,4680,0.9,0.92,0.89,0.91,0.87,0.88,0.85,0.78,0.51,0.899193331,52.15147792,-0.18930562,0.401,0.588,0.696,0.896,0.654,0.655,0.697,0.819,0.855,0.798061079,-16.04077211,0.080234364
17BYD00074,1,2,19,2,KS12DH0296-156,Rocky,9/12/16,Treated,5,0.88,6450,0.9,0.92,0.89,0.89,0.83,0.83,0.75,0.61,0.38,0.902900034,35.31999918,-0.130027159,0.371,0.647,0.719,0.886,0.776,0.698,0.772,0.812,0.783,0.806922259,-19.74174753,0.098368695
17BYD00075,1,2,19,3,KS090438K-9,Rocky,9/12/16,Treated,25,1.01,5070,0.89,0.92,0.9,0.89,0.86,0.87,0.78,0.63,0.44,0.907009207,36.03982986,-0.131916755,0.392,0.646,0.687,0.951,0.79,0.76,0.806,0.883,0.949,0.879177655,-14.88129348,0.073841545
17BYD00076,1,2,19,4,KS12DH0296-47,Rocky,9/12/16,Treated,5,1.01,5550,0.89,0.91,0.89,0.88,0.82,0.83,0.71,0.53,0.36,0.902118095,33.50380581,-0.124062611,0.437,0.7,0.822,0.958,0.8,0.752,0.919,0.962,0.934,0.907911992,-17.0351436,0.085531787
17BYD00077,1,2,20,4,Everest,Rocky,9/12/16,Treated,5,0.97,6160,0.89,0.92,0.91,0.9,0.85,0.85,0.76,0.59,0.38,0.910155716,36.79251619,-0.135644103,0.386,0.63,0.761,0.946,0.863,0.785,0.893,0.915,0.909,0.913147827,-15.75915203,0.077461226
17BYD00078,1,2,20,3,WB4458,Rocky,9/12/16,Treated,10,1.02,7230,0.86,0.91,0.91,0.9,0.88,0.9,0.83,0.72,0.46,0.898756816,48.32343679,-0.176236631,0.353,0.575,0.726,0.969,0.825,0.8,0.866,0.957,0.967,0.937100483,-14.17104969,0.068458601
17BYD00079,1,2,20,2,KS12DH0230-30,Rocky,9/12/16,Treated,15,0.99,5940,0.89,0.92,0.9,0.9,0.83,0.84,0.73,0.53,0.39,0.912845243,32.45797331,-0.119950265,0.405,0.665,0.757,0.941,0.877,0.72,0.881,0.935,0.902,0.890860643,-16.28275993,0.080765753
17BYD00080,1,2,20,1,KS090049K-14,Rocky,9/12/16,Treated,15,0.98,7870,0.9,0.93,0.91,0.92,0.85,0.87,0.8,0.68,0.42,0.912673133,40.12554659,-0.146960855,0.395,0.619,0.777,1.003,0.641,0.56,0.643,0.65,0.823,0.923268294,-10.90929345,0.052533744
17BYD00081,1,2,21,1,KS090041K-1,Rocky,9/12/16,Treated,10,0.94,6600,0.9,0.92,0.9,0.9,0.85,0.86,0.78,0.67,0.39,0.903073696,41.60824203,-0.15274996,0.379,0.631,0.744,0.948,0.788,0.643,0.76,0.875,0.839,0.831581026,-19.17326707,0.095220729
